oxetanone_concentration (mM),induction time (s),time(s),CO_Conc(ppm)_10mM,CO_Conc(ppm)_20mM,CO_Conc(ppm)_40mM,CO_Conc(ppm)_80mM,CO_Conc(ppm)_160mM
10,51,60,15,29,42,67,113
20,43,90,49,88,123,200,313
40,37,120,93,166,226,373,551
80,30,150,145,250,341,564,813
160,27,180,195,334,461,760,1000
,,210,244,422,580,948,
,,240,295,509,696,1000,
,,270,373,595,815,,
,,300,388,678,927,,
,,330,441,758,997,,
,,360,481,839,,,
,,390,525,919,,,
,,420,567,1000,,,
,,450,611,,,,
,,480,651,,,,
,,510,691,,,,
,,540,728,,,,
,,570,768,,,,
,,600,803,,,,
,,630,839,,,,
,,660,871,,,,
,,690,905,,,,
,,720,940,,,,
,,750,971,,,,
,,780,1000,,,,
