305nm,,280nm_bp,,280nm,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
800.0369873,92.14812469,800.0369873,-0.08407286555,800.0369873,92.16623688,
799.0648804,92.02751923,799.0648804,0.08718817681,799.0648804,92.0951004,
797.9534302,91.75315857,797.9534302,0.03929273039,797.9534302,92.04042053,
796.9805298,92.00656128,796.9805298,-0.1624617726,796.9805298,91.97592163,
796.0072632,91.84448242,796.0072632,-0.1410172135,796.0072632,91.82608032,
795.0336304,91.76566315,795.0336304,-0.06043700874,795.0336304,91.97775269,
794.0596313,91.92546844,794.0596313,-0.1871221513,794.0596313,91.93765259,
792.9459839,92.09157562,792.9459839,0.2491464317,792.9459839,91.77016449,
791.9711304,91.98654938,791.9711304,0.2999571264,791.9711304,92.24269104,
790.9959717,92.02307129,790.9959717,0.03571109846,790.9959717,91.79065704,
790.0203857,92.12705231,790.0203857,0.008616604842,790.0203857,92.09052277,
789.0444336,92.19905853,789.0444336,-0.0470870249,789.0444336,91.96302032,
788.0681152,91.92099762,788.0681152,0.09150386602,788.0681152,92.40428162,
786.9518433,92.38380432,786.9518433,0.03267211094,786.9518433,92.13256073,
785.9747314,92.22628021,785.9747314,-0.1031528935,785.9747314,91.79798889,
784.9972534,91.81944275,784.9972534,-0.01401476189,784.9972534,91.95239258,
784.0194092,92.30769348,784.0194092,0.1810794175,784.0194092,92.19758606,
783.0411987,92.27645874,783.0411987,-0.2980420887,783.0411987,92.37503815,
782.062561,92.17364502,782.062561,-0.01730403118,782.062561,92.43126678,
780.9437256,92.57763672,780.9437256,-0.1496881545,780.9437256,92.25532532,
779.9643555,92.28964233,779.9643555,-0.04671441764,779.9643555,91.782341,
778.9845581,92.20095062,778.9845581,-0.09696867317,778.9845581,92.21339417,
778.0044556,92.140625,778.0044556,-0.08654084057,778.0044556,92.12166595,
777.0239868,92.31991577,777.0239868,0.02461765893,777.0239868,92.38844299,
776.0430908,92.40093231,776.0430908,-0.2095230222,776.0430908,92.02480316,
775.0618896,92.04642487,775.0618896,0.02141052485,775.0618896,92.04582214,
773.9400635,92.39320374,773.9400635,-0.03323225304,773.9400635,92.35843658,
772.9580078,92.19902039,772.9580078,0,772.9580078,92.18800354,
771.975647,92.31520081,771.975647,-0.01208946202,771.975647,92.59811401,
770.9929199,92.25704956,770.9929199,-0.1456692964,770.9929199,92.66608429,
770.0098267,92.22570801,770.0098267,-0.09882174432,770.0098267,92.55553436,
769.0263672,92.05410767,769.0263672,-0.01443782635,769.0263672,92.30451965,
768.0425415,92.29985809,768.0425415,-0.03612194955,768.0425415,92.52095795,
767.0583496,92.17063904,767.0583496,0.01759386435,767.0583496,92.436203,
765.9331055,92.5605011,765.9331055,-0.05015644059,765.9331055,92.53827667,
764.9481201,92.34977722,764.9481201,-0.07839623839,764.9481201,92.40130615,
763.9628296,92.56088257,763.9628296,0.06242781505,763.9628296,92.41710663,
762.9771118,92.24703217,762.9771118,0.01010790188,762.9771118,92.63530731,
761.9910889,92.56340027,761.9910889,-0.1132502779,761.9910889,92.53636932,
761.0046387,92.4982605,761.0046387,-0.08481328189,761.0046387,92.80640411,
760.0178833,92.43966675,760.0178833,-0.01505646203,760.0178833,92.79489136,
759.0307617,92.79603577,759.0307617,0,759.0307617,92.35328674,
758.0432739,92.63170624,758.0432739,0.1322305501,758.0432739,92.68521118,
757.055481,92.64762115,757.055481,-0.0900349319,757.055481,92.626297,
756.0672607,92.87818146,756.0672607,-0.1219942793,756.0672607,92.787323,
754.937439,92.77616119,754.937439,-0.09614806622,754.937439,92.87484741,
753.9484863,92.90336609,753.9484863,0.002699784003,753.9484863,92.94055939,
752.9591675,92.80908966,752.9591675,0,752.9591675,92.86798096,
751.9694824,92.84647369,751.9694824,0.1383338422,751.9694824,93.01015472,
750.9794312,92.97714996,750.9794312,-0.005734273698,750.9794312,92.99266815,
749.9890747,93.06526184,749.9890747,-0.05133054405,749.9890747,92.90548706,
748.9983521,93.00112915,748.9983521,0.06693440676,748.9983521,93.04624939,
748.0072632,93.0901413,748.0072632,0.01506996807,748.0072632,93.01651001,
747.0158081,93.05245209,747.0158081,-0.03398759663,747.0158081,93.22115326,
746.0239868,93.26345825,746.0239868,0.1039691716,746.0239868,93.43683624,
745.0318604,93.35321808,745.0318604,0.07969941944,745.0318604,93.52563477,
744.0393677,93.55513,744.0393677,0.02217909694,744.0393677,93.50255585,
743.0465088,93.51938629,743.0465088,0.00459305523,743.0465088,93.5063324,
742.0532837,93.4997406,742.0532837,0.05492134392,742.0532837,93.71975708,
741.0597534,93.61009216,741.0597534,-0.12285956,741.0597534,93.53029633,
740.0658569,93.76815033,740.0658569,-0.0299670361,740.0658569,93.74103546,
738.9295044,93.77115631,738.9295044,0.03945056349,738.9295044,93.87837982,
737.9348755,93.7898941,737.9348755,-0.1472821832,737.9348755,93.78405762,
736.9398804,93.9401474,736.9398804,-0.02426259033,736.9398804,94.04545593,
735.944519,93.96748352,735.944519,0.01660412364,735.944519,93.99862671,
734.9488525,94.08818817,734.9488525,-0.04614511132,734.9488525,94.04452515,
733.9528198,94.12651062,733.9528198,-0.03920031339,733.9528198,94.14892578,
732.9564209,94.25609589,732.9564209,-0.02346499823,732.9564209,94.31236267,
731.9596558,94.3348999,731.9596558,0.006029363256,731.9596558,94.3367691,
730.9625854,94.27906799,730.9625854,-0.005905628204,730.9625854,94.356987,
729.9651489,94.50300598,729.9651489,-0.02363018692,729.9651489,94.55753326,
728.9674072,94.53351593,728.9674072,0.04437344521,728.9674072,94.59651947,
727.9692993,94.82752228,727.9692993,0.03267100081,727.9692993,94.7831192,
726.9708252,94.62848663,726.9708252,-0.01473622117,726.9708252,94.70816803,
725.9720459,94.77319336,725.9720459,-0.03521643579,725.9720459,94.86845398,
724.9729004,94.95517731,724.9729004,-0.06053039804,724.9729004,94.87657166,
723.9733887,94.97303009,723.9733887,-0.01724187471,723.9733887,94.91253662,
722.9735718,95.02381134,722.9735718,0.003599711927,722.9735718,95.00930023,
721.9733887,95.03303528,721.9733887,-0.05043429509,721.9733887,95.17983246,
720.9729004,95.0621109,720.9729004,0.03886513785,720.9729004,95.06407928,
719.9720459,94.85288239,719.9720459,0.04183782265,719.9720459,95.05311584,
718.9708252,94.96179199,718.9708252,-0.05603164434,718.9708252,94.9486084,
717.9692993,94.96440125,717.9692993,-0.03941922262,717.9692993,94.99560547,
716.9674683,94.94669342,716.9674683,-0.00910746865,716.9674683,94.88397217,
715.965271,94.90037537,715.965271,0.03219871223,715.965271,94.93392944,
714.9627075,94.8520813,714.9627075,-0.06874355674,714.9627075,94.78543091,
713.9598389,94.64866638,713.9598389,-0.08591065556,713.9598389,94.71118927,
712.956604,94.57089996,712.956604,-0.0257274434,712.956604,94.60374451,
711.953064,94.37513733,711.953064,-0.03641850129,711.953064,94.478508,
710.9491577,94.16240692,710.9491577,-0.01333013363,710.9491577,94.25920105,
709.9449463,93.8547287,709.9449463,0.0298140347,709.9449463,93.83841705,
708.9403687,93.818573,708.9403687,-0.07631257921,708.9403687,93.81530762,
707.9354858,93.6361618,707.9354858,0.01817520894,707.9354858,93.5472641,
706.9302368,93.34384155,706.9302368,-0.002991146175,706.9302368,93.32320404,
706.0683594,93.15532684,706.0683594,-0.05090887472,706.0683594,93.0397644,
705.0625,92.74862671,705.0625,-0.009000360034,705.0625,92.79982758,
704.0563354,92.42237091,704.0563354,0.01215805486,704.0563354,92.36991882,
703.0498047,92.00483704,703.0498047,-0.02916131914,703.0498047,92.21279144,
702.0429688,91.9651413,702.0429688,-0.05830450729,702.0429688,91.93631744,
701.0357666,91.77598572,701.0357666,0,701.0357666,91.59696198,
700.0282593,91.33478546,700.0282593,-0.02757606283,700.0282593,91.38262177,
699.0204468,91.01326752,699.0204468,0.02235969342,699.0204468,91.10861969,
698.0122681,90.82424927,698.0122681,0.07717882097,698.0122681,90.87738037,
697.0037842,90.44158173,697.0037842,-0.05001818761,697.0037842,90.49842072,
695.9949341,90.16330719,695.9949341,0,695.9949341,90.3167572,
694.9857788,89.92599487,694.9857788,-0.0455128476,694.9857788,90.07234955,
693.9763184,89.80895233,693.9763184,-0.01143946685,693.9763184,90.00239563,
692.9664917,89.67887878,692.9664917,0.01576913893,692.9664917,89.6501236,
691.9563599,89.37251282,691.9563599,0.02828968503,691.9563599,89.47907257,
